w,p,LL_diff,LL_diff_log
0.39,0.21,160.9295494,2.206635795
0.4,0.21,3936.978114,3.595163
0.41,0.21,1205.621531,3.081210996
0.42,0.21,3320.52934,3.521207322
0.43,0.21,2327.483333,3.36688658
0.44,0.21,1604.739607,3.205404572
0.45,0.21,835.1752903,2.921777637
0.46,0.21,3850.279239,3.585492228
0.47,0.21,1326.609023,3.122742947
0.48,0.21,4477.884523,3.65107289
0.49,0.21,4547.459423,3.657768833
0.5,0.21,4275.421998,3.630978987
0.51,0.21,2696.976698,3.430877194
0.52,0.21,1771.485519,3.248337607
0.53,0.21,2295.912138,3.360955264
0.54,0.21,10332.26943,4.014195723
0.55,0.21,1527.908286,3.184097286
0.56,0.21,8870.999912,3.947972575
0.57,0.21,2405.384289,3.38118447
0.58,0.21,4351.993677,3.638688256
0.59,0.21,10204.79903,4.008804456
0.6,0.21,15362.22196,4.186454036
0.61,0.21,7025.602775,3.846683591
0.62,0.21,8740.10102,3.941516452
0.63,0.21,14999.13893,4.176066328
0.64,0.21,29968.01243,4.47665794
0.65,0.21,22964.22304,4.361051756
0.66,0.21,1837.057015,3.264122635
0.67,0.21,12635.91016,4.101606529
0.68,0.21,16430.76361,4.215657747
0.69,0.21,50138.78633,4.700173817
0.7,0.21,616.994599,2.790281362
0.71,0.21,9154.139665,3.961617534
0.72,0.21,1961.638122,3.292618893
0.73,0.21,4727.016984,3.674587163
0.74,0.21,9199.097153,3.963745206
0.75,0.21,23209.14843,4.365659206
0.76,0.21,5093.081138,3.706980595
0.77,0.21,41016.39724,4.612957511
0.78,0.21,7354.548097,3.866555992
0.79,0.21,20378.28717,4.309167678
0.8,0.21,36043.17171,4.556823001
0.81,0.21,26912.4878,4.429953846
0.82,0.21,3722.47372,3.57083164
0.83,0.21,20727.56629,4.316548313
0.84,0.21,16444.5499,4.216021991
0.85,0.21,17485.50944,4.24267829
0.86,0.21,120453.5884,5.080819743
0.87,0.21,61074.33271,4.785858731
0.88,0.21,59771.56846,4.776494652
0.89,0.21,21858.70242,4.339624378
0.9,0.21,28180.31412,4.44994583
0.91,0.21,54264.62874,4.734516836
0.92,0.21,118014.303,5.071934646
0.93,0.21,91391.74189,4.960906955
0.94,0.21,15644.8291,4.194370823
0.95,0.21,18846.7254,4.275235903
0.96,0.21,30428.56141,4.48328142
0.97,0.21,167469.857,5.223936649
0.98,0.21,40411.09342,4.606500601
0.99,0.21,72958.33799,4.863074932
1,0.21,NA,NA
0,0.22,0,#NAME?
0.01,0.22,0,#NAME?
0.02,0.22,0,#NAME?
0.03,0.22,3.021843467,0.480271964
0.04,0.22,5.006973134,0.699575261
0.05,0.22,3.892488672,0.590227357
0.06,0.22,5.981821392,0.776833441
0.07,0.22,8.127617619,0.909963263
0.08,0.22,0,#NAME?
