"w_true","w_hat","beta_par_true","beta_par_hat","k_true","k_hat"
0.822613551048562,0.907149607443201,0.386961122625507,0.42187049586337,4.60363124753349,5.1452410843721
0.651106306817383,0.471024186047064,0.452080346702132,0.37063687469393,2.55301256570965,3.52979724550695
0.921076898928732,0.923944989063271,0.260923809022643,0.259908491402699,5.40143999876454,3.62666276979359
0.130987523589283,0.205571857638754,0.323330944636837,0.318043231989299,1.67819893709384,1.26294221125336
0.513724553864449,0.581822355006089,0.384090293897316,0.396460319425445,2.35081506683491,2.37080722988091
0.897944290423766,0.899844057319282,0.401399865862913,0.399192856544626,4.86537126614712,5.13182029541884
0.804959582397714,0.827504523392983,0.413217811263166,0.421967724016737,3.2460960841272,2.50191404522463
0.249115662416443,0.123368169022041,0.451800643757451,0.432901522677937,2.97179019218311,1.96767032457529
0.166734370635822,0.0225266137339118,0.413441472046543,0.373903548058186,1.29939158004709,1.14665306123153
0.856225323397666,0.850968504461337,0.330707919958513,0.335640505687173,3.87369836005382,5.21449973350274
0.0390161108225584,0.130691329360602,0.456925384816714,0.502809459345562,4.57362419134006,5.29245913252837
0.0417119958437979,0.117813413742769,0.317613045161124,0.31949910544782,5.79178673354909,6.49623729170359
0.984138633823022,0.985104803307419,0.278671944863163,0.277485772585458,5.35810486203991,5.1234334433347
0.654051427729428,0.773847529583486,0.357305776677094,0.37833796573866,3.3950566619169,2.51096968784444
0.544160838704556,0.689279158105491,0.460050621884875,0.507636884676096,4.21371150086634,5.02508868188077
0.205110103590414,0.0852375479899302,0.347292158694472,0.320423959701269,2.78577959653921,2.50601343821753
0.991589449113235,0.992093376972925,0.390178278728854,0.391157039206803,3.41202238481492,2.89555661246916
0.00302460184320807,0.718859847055599,0.363310615182854,0.904149553367529,5.42560940748081,5.66184144415679
0.2518698903732,0.190791913002356,0.416961998213083,0.383972493040236,1.25540904025547,1.29900748507406
0.0487801020499319,0.00432262467193717,0.353937054402195,0.334512171977429,1.11513953097165,1.21485802712676
0.177215175237507,0.0626788880648474,0.289351652492769,0.27182541814931,2.23171839746647,2.39409043920647
0.354539254680276,0.496377945333887,0.272434526588768,0.312022855524389,2.86058161896653,2.57540896973908
0.150286183925346,0.187531761197135,0.497181384300347,0.520519571302453,5.73940637311898,6.49118014431065
0.153399283532053,0.0387075178435794,0.287770820898004,0.267226877807169,4.3016634627711,3.40751795391642
0.933698371984065,0.935611447062127,0.279219697811641,0.285870113815685,5.11480723647401,5.08230383911359
0.993038459913805,0.992818714682127,0.447061908489559,0.434956475541423,1.48900372348726,1.4252786909821
0.495297127403319,0.228915825130642,0.337446180405095,0.264667995047892,3.56525019649416,2.69771319466946
0.615558706922457,0.636485979135621,0.365385766664986,0.377011452042681,3.99518072977662,3.86730915163247
0.598244227701798,0.592965866770993,0.278723973024171,0.282588312315069,5.0948406397365,2.89787684915782
0.533742290455848,0.554838256396033,0.354474262101576,0.35441222911337,2.15277385688387,1.89409333124778
0.98655694280751,0.988274797615792,0.285668851691298,0.289568707208777,2.44766691373661,3.13359044316675
0.705615633865818,0.557198371342216,0.437122532457579,0.390953905723115,2.57186259515584,2.55724839200703
0.641314321663231,0.549702599574459,0.289023651217576,0.254069111421128,1.95019756583497,2.26584459591431
0.167025544214994,0.340792910496134,0.281786036735866,0.31459773185794,4.23194860597141,3.508395727787
0.948710904456675,0.94445580558968,0.290130998298991,0.290612858984858,3.39854844752699,3.49011645042038
0.159008422633633,0.0350860748383793,0.342240480182227,0.309525808371047,3.06354090943933,2.82230472304411
0.833309089997783,0.84955628881475,0.336406783841085,0.328282631375477,1.2997740637511,1.31205796445256
0.351033295271918,0.30403365607867,0.481420009280555,0.468480758454195,5.37160565750673,6.27122632120686
0.426851191092283,0.330696626918102,0.473600918310694,0.443019162428799,2.80344368913211,5.69191464618036
0.487682109465823,0.49403673950613,0.252620513609145,0.261486736232153,5.68652379815467,5.16697331952509
0.0993208691943437,0.0960606979811909,0.455926803464536,0.466474491211266,4.98917188053019,3.74523155371466
0.578915770165622,0.568088295981654,0.258761238888837,0.263488494981271,5.88053233828396,5.29646046758077
0.57224693428725,0.693200802738817,0.357675194507465,0.373584717609354,3.29353903443553,3.36820156594034
0.0288539980538189,0.117660072821466,0.405648279353045,0.433683380440251,3.71368212183006,4.09147142182892
0.980379058048129,0.947073693070231,0.492222595436033,0.464696221400334,5.42325741285458,6.32991953819515
0.580453437985852,0.305827982126271,0.365198446204886,0.317703260989646,4.95148298121057,4.34446494689633
0.820171901024878,0.740301183961209,0.348190553777386,0.288563764459833,2.36152796330862,2.01894409151591
0.915978790260851,0.887562190934736,0.380343658209313,0.373416597324111,5.35169008676894,4.09321104375257
0.168107043486089,0.24838720383016,0.251127359108068,0.2626817274697,2.26217043376528,2.97546041413362
0.0923227581661195,0.023087104602678,0.38518673350336,0.363751499552625,3.57920699659735,4.69449856233206
0.566003868589178,0.515088415742086,0.416537852957845,0.39446867014746,2.75064851762727,2.81399462540263
0.163011564174667,0.0701009203375002,0.447151574189775,0.425642742616094,5.1391512285918,3.91878323824185
0.933189597446471,0.923557617406891,0.356593231612351,0.356334952797294,2.14701121696271,2.33857844177033
0.748955769464374,0.799456736465981,0.46318322326988,0.470296389784144,5.88083159318194,4.95587079511789
0.677875108784065,0.659964820763189,0.482485531829298,0.487485022704744,3.89955786662176,3.45409907133026
0.892896597040817,0.919641093603929,0.442309175152332,0.457593609407181,1.24436788633466,1.6217399483625
0.881619122810662,0.829637079142303,0.278798587038182,0.250424722645839,4.94002488232218,4.05331150774208
0.860670037567616,0.877727122214156,0.294628636154812,0.300916650960612,2.96816494571976,2.56901343308971
0.914861107710749,0.912827066667972,0.352265594236087,0.353127198757045,4.41913893003948,3.19800168684044
0.796848477562889,0.79856093111352,0.335810116259381,0.343508208927632,4.27895270078443,4.3633858175118
0.579288955545053,0.697568314786316,0.417287537013181,0.467034157345832,3.91085030999966,4.23449573184243
0.295790495118126,0.156650676964672,0.301515950122848,0.280224819883387,3.00164560694247,3.1671178354369
0.962805116549134,0.957872897806075,0.421264064847492,0.40156961155308,2.53947190498002,2.39904608376904
0.209167048567906,0.358893614645864,0.327243757259566,0.35873176920192,2.99692665948533,2.4259859011401
0.84732545283623,0.83580626092922,0.26665702892933,0.273408715654973,2.21684594079852,2.23570304258051
0.789106914075091,0.815693920833946,0.251226255204529,0.26003028326672,1.88140256819315,1.70285186239483
0.684655075427145,0.720058447882261,0.431104725808837,0.436306253322186,2.88555077998899,2.97145330445856
0.111121839378029,0.0753340232144468,0.345010485267267,0.333751738095552,2.11253071576357,2.54113202901451
0.494108367012814,0.470432131703179,0.288614840246737,0.281588341145854,1.88217706768773,2.02664879987736
0.494089017156512,0.648454210831096,0.393882365955506,0.428967006523271,1.88396467384882,1.42885478465095
0.298861203948036,0.213994573905685,0.328565553878434,0.307741102927221,3.18573473626748,3.03960518191451
0.10378042072989,0.0282994808142102,0.29775752290152,0.293364505489358,4.83689454523847,5.54221777418343
0.400254544103518,0.289099089427162,0.401056283270009,0.411120522947164,5.32009329437278,6.7284516325288
0.751455259509385,0.695007159696406,0.423315075633582,0.396343811101267,3.00073273852468,3.52962248052066
0.673682341817766,0.657084169517965,0.389337809174322,0.375432305959832,2.3789203192573,1.94505079986776
0.34932520147413,0.336953682696711,0.310574042610824,0.308066491583689,3.13903077994473,2.85213174859658
0.348105331417173,0.459710979622519,0.418987214507069,0.432606372764773,3.71632176241837,3.32394102594101
0.0469825034961104,0.0247084780718897,0.496940831595566,0.486807970621811,2.50351022137329,2.28555913959862
0.141164966858923,0.361038917692805,0.283208523469511,0.330782984216144,3.61223837267607,3.96000787060896
0.457337652565911,0.347064059577377,0.423496913572308,0.395498960271581,4.20596001925878,3.78713299970381
0.708349570631981,0.751208493033856,0.330209855572321,0.342712697620557,5.94732505641878,7.57657360727193
0.248308630194515,0.380418113434997,0.432221611205023,0.474446081566955,4.98832577397116,4.33578986417741
0.914479191182181,0.888552521896791,0.421182767604478,0.439998597151093,1.53520909743384,2.38334492566211
0.916393005987629,0.968087708326707,0.363547548768111,0.3790597472996,4.48163962597027,7.37550530386383
0.0311962871346623,0.198084646906761,0.270046012185048,0.29644111562127,3.04583816113882,3.25285593158353
0.838741010054946,0.894986263784196,0.344261164427735,0.354437611563016,5.97272999957204,4.35196620348198
0.96891466807574,0.942988066666869,0.331589089240879,0.336685204805013,5.73197001032531,5.9484631896766
0.758763391058892,0.855283240137583,0.327825205284171,0.353787477053709,3.48581648105755,4.0492170140576
0.242650903994218,0.193955506631895,0.465241074911319,0.468083588109729,4.55862188851461,4.66751673887649
0.366313595324755,0.268725568226528,0.466566978779156,0.429756230862047,3.95620578341186,5.26451189467016
0.372183322208002,0.309896038010319,0.289081531984266,0.28107332166666,1.74570095865056,1.88581881883219
0.201175635913387,0.471375790049047,0.488024369929917,0.571567919772761,4.59282955643721,6.90986922566769
0.562422502785921,0.587816213242828,0.459355504310224,0.474320595464902,2.22762465034612,2.27421281119387
0.941064404090866,0.951483846947632,0.268776119453833,0.260836220152148,5.44019107380882,5.04805063352189
0.839962303871289,0.548093340943651,0.430300406645983,0.385531283603548,1.43236498604529,1.42403992695012
0.192047488642856,0.0600616959439552,0.496219738270156,0.463015189174966,2.73854441498406,2.95995295068118
0.755312173627317,0.749831368191384,0.329274434654508,0.330454325964893,2.76276331185363,2.52002186576888
0.648215416586027,0.604957575249258,0.361998595879413,0.348823355772543,4.42943954048678,5.83546621086429
0.00969019252806902,0.00728281793977105,0.460136648151092,0.456392782709837,1.22873332258314,1.22291539504391
0.392418225063011,0.348177027547408,0.415262562921271,0.40709636347491,3.70761421998031,4.95100110059477
0.348608230240643,0.625686650191126,0.364275888132397,0.414087407076887,4.50174387102015,5.82123873812849
0.462766355834901,0.389109623877493,0.296063704008702,0.279188035489607,2.00554932956584,2.12032827224887
0.950593909015879,0.881179543067726,0.472574336221442,0.450447780230967,5.37459320062771,5.03644780137346
0.0380501057952642,0.0503501299215161,0.479136977926828,0.474283553129411,5.2685514013283,6.41544405495939
0.724148765671998,0.688104861672612,0.318546765774954,0.307064272410717,1.46158373821527,1.47331209054355
0.276788252871484,0.0854142461234253,0.419833214138635,0.364294571106484,3.63624745421112,3.29354589605862
